category,name,url,price,rating,reviews_count,image_url,description,brand,color,laptop_type,processor_brand,processor_model,ram_gb,ram_type,gpu_brand,gpu_model,has_dedicated_gpu,storage_gb,storage_type,screen_size,display_type,touchscreen,weight_kg,battery_whr,os,good_for_gaming,good_for_video_editing,good_for_programming,good_for_students,good_for_business
laptop,Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Qualcomm Snapdragon X - (16 GB/512 GB...,https://www.flipkart.com/samsung-galaxy-book4-edge-series-copilot-ai-pc-full-metal-chasis-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-np750xqb-ka1in-thin-light-laptop/p/itm1d61ec8d90cc7?pid=COMHE4ATFWNVHXHS&lid=LSTCOMHE4ATFWNVHXHSIHS0FO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_1&otracker=browse&fm=organic&iid=en_y6dBkqsj9fl8DpQbOo1yG1B-An6nSPV7G5hpyoIXssIP44xo9dMygR_Tca21Bq6al3LVU23Rn5TEHCp33wMSfvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=x7qqpg2kgw0000001764345620504,64990,4.4,128,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/g/p/-original-imahgwkqughzkwt3.jpeg?q=70,"Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Qualcomm Snapdragon X - (16 GB/512 GB.... powered by Qualcomm Snapdragon X. 16GB LPDDR5X RAM. 512.0GB SSD. 15.6"" HD display. weighs 1.55kg. running Windows 11 Home.",Samsung,Sapphire Blue,Thin and Light Laptop,Qualcomm,Snapdragon X,16,LPDDR5X,Qualcomm,Adreno,FALSE,512,SSD,15.6,HD,FALSE,1.55,,Windows 11 Home,FALSE,FALSE,TRUE,TRUE,TRUE
laptop,Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/...,https://www.flipkart.com/lenovo-ideapad-slim-3-next-gen-ai-pc-wuxga-ips-copilot-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-15q8x10-thin-light-laptop/p/itm097ac7e15511b?pid=COMHDMJYDGBTMJXG&lid=LSTCOMHDMJYDGBTMJXG112MJM&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_2&otracker=browse&fm=organic&iid=en_y6dBkqsj9fl8DpQbOo1yG1B-An6nSPV7G5hpyoIXssL4cn7jAn7GxnzdDoj6nEdHp9g9RHT3fDlKXfChzVth9vUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=x7qqpg2kgw0000001764345620504,49990,4.3,27,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/z/z/-original-imahgfdfx3hhguyc.jpeg?q=70,"Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/.... powered by Qualcomm Snapdragon X. 16GB LPDDR5X RAM. 512.0GB SSD. 15.3"" IPS display. weighs 1.55kg. running Windows 11 Home.",Lenovo,Luna Grey,Thin and Light Laptop,Qualcomm,Snapdragon X,16,LPDDR5X,Qualcomm,Adreno,FALSE,512,SSD,15.3,IPS,FALSE,1.55,50,Windows 11 Home,FALSE,FALSE,TRUE,TRUE,TRUE
laptop,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj3700ws-thin-light-laptop/p/itmf31c79724a398?pid=COMHCQ5ECZZV6THK&lid=LSTCOMHCQ5ECZZV6THKTW8YMF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_3&otracker=browse&fm=organic&iid=en_y6dBkqsj9fl8DpQbOo1yG1B-An6nSPV7G5hpyoIXssJXgLZR0JqDxFFOHgyFqze25x8GNyeVQf2BDzdQSvEpdvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=x7qqpg2kgw0000001764345620504,34990,4.3,163,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/l/v/-original-imahgfdffszmurd7.jpeg?q=70,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS.... powered by Intel Core i3. 8GB DDR4 RAM. 512.0GB SSD. 15.6"" Full HD display. weighs 1.7kg. running Windows 11 Home.",ASUS,Terra Cotta,Thin and Light Laptop,Intel,Core i3,8,DDR4,Intel,Integrated Graphics,FALSE,512,SSD,15.6,Full HD,FALSE,1.7,,Windows 11 Home,FALSE,FALSE,FALSE,TRUE,TRUE
laptop,ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Window...,https://www.flipkart.com/asus-expertbook-p1-high-performance-processor-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-p1503cva-s70611ws-thin-light-laptop/p/itmf788da016f665?pid=COMH8Z2QRZVVN2RZ&lid=LSTCOMH8Z2QRZVVN2RZ9WYQBV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_4&otracker=browse&fm=organic&iid=a15a8e40-9d2b-4b5d-8df8-68bc98a746a5.COMH8Z2QRZVVN2RZ.SEARCH&ppt=None&ppn=None&ssid=x7qqpg2kgw0000001764345620504,50990,4.3,275,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/m/o/-original-imahg53unuzhjzxu.jpeg?q=70,"ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Window.... powered by Intel Core i5. 16GB DDR5 RAM. 512.0GB SSD. 15.6"" Full HD display. weighs 1.65kg. running Windows 11 Home.",ASUS,Misty Grey,Thin and Light Laptop,Intel,Core i5,16,DDR5,Intel,Integrated Graphics,FALSE,512,SSD,15.6,Full HD,FALSE,1.65,50,Windows 11 Home,FALSE,FALSE,TRUE,TRUE,TRUE
laptop,Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7X4HN/A,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7x4hn-a/p/itmdc5308fa78421?pid=COMH64PY76CJKBYU&lid=LSTCOMH64PY76CJKBYUOL7TOK&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=b_1_5&otracker=browse&fm=organic&iid=a15a8e40-9d2b-4b5d-8df8-68bc98a746a5.COMH64PY76CJKBYU.SEARCH&ppt=None&ppn=None&ssid=x7qqpg2kgw0000001764345620504,67990,4.6,651,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/j/g/-original-imahfthtkkzyazkf.jpeg?q=70,"Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7X4HN/A. powered by Apple M2. 16GB Unified Memory RAM. 256.0GB SSD. 13.6"" IPS display. weighs 1.24kg. running macOS Sequoia.",Apple,Midnight,Thin and Light Laptop,Apple,M2,16,Unified Memory,,,FALSE,256,SSD,13.6,IPS,FALSE,1.24,,macOS Sequoia,FALSE,FALSE,TRUE,TRUE,TRUE
laptop,Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,https://www.flipkart.com/acer-aspire-3-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itma6a6812aa712e?pid=COMH4B6CGTPNVJW9&lid=LSTCOMH4B6CGTPNVJW9JOF4ZC&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_6&otracker=browse&fm=organic&iid=en_y6dBkqsj9fl8DpQbOo1yG1B-An6nSPV7G5hpyoIXssK-CCdiKz6i-4KaKxXqVYIW-o7kXZ0fBoEaI_L769vx7sDbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=x7qqpg2kgw0000001764345620504,30990,4.3,233,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/p/w/-original-imahg5fxzmyzbkv8.jpeg?q=70,"Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light .... powered by Intel Core i3. 8GB DDR4 RAM. 512.0GB SSD. 14.0"" HD display. weighs 1.45kg. running Windows 11 Home.",Acer,Steel Gray,Thin and Light Laptop,Intel,Core i3,8,DDR4,Intel,Integrated Graphics,FALSE,512,SSD,14,HD,FALSE,1.45,,Windows 11 Home,FALSE,FALSE,FALSE,TRUE,TRUE
laptop,Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7w4hn-a/p/itm2ea42dec44bca?pid=COMH64PYZU4ZZR79&lid=LSTCOMH64PYZU4ZZR79AHLYXY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_7&otracker=browse&fm=organic&iid=a15a8e40-9d2b-4b5d-8df8-68bc98a746a5.COMH64PYZU4ZZR79.SEARCH&ppt=None&ppn=None&ssid=x7qqpg2kgw0000001764345620504,67990,4.6,651,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/f/y/-original-imahgfdfjcy6aghz.jpeg?q=70,"Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A. powered by Apple M2. 16GB Unified Memory RAM. 256.0GB SSD. 13.6"" IPS display. weighs 1.24kg. running macOS Sequoia.",Apple,Starlight,Thin and Light Laptop,Apple,M2,16,Unified Memory,,,FALSE,256,SSD,13.6,IPS,FALSE,1.24,,macOS Sequoia,FALSE,FALSE,TRUE,TRUE,TRUE
laptop,ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60938WS...,https://www.flipkart.com/asus-expertbook-p1-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-p1403cva-s60938ws-thin-light-laptop/p/itm0af4b81838b5b?pid=COMH8Z2QAWCCUCSP&lid=LSTCOMH8Z2QAWCCUCSPPZPFKG&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_8&otracker=browse&fm=organic&iid=a15a8e40-9d2b-4b5d-8df8-68bc98a746a5.COMH8Z2QAWCCUCSP.SEARCH&ppt=None&ppn=None&ssid=x7qqpg2kgw0000001764345620504,37990,4.3,309,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/i/a/-original-imahg53uwgmhzfcd.jpeg?q=70,"ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60938WS.... powered by Intel Core i3. 16GB DDR5 RAM. 512.0GB SSD. 14.0"" Full HD display. weighs 1.4kg. running Windows 11 Home.",ASUS,Misty Grey,Thin and Light Laptop,Intel,Core i3,16,DDR5,Intel,Integrated Graphics,FALSE,512,SSD,14,Full HD,FALSE,1.4,50,Windows 11 Home,FALSE,FALSE,TRUE,TRUE,TRUE
laptop,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg9in-thin-light-laptop/p/itmc29d559898e6f?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_9&otracker=browse&fm=organic&iid=a15a8e40-9d2b-4b5d-8df8-68bc98a746a5.COMH4Y6KKRC9YSWE.SEARCH&ppt=None&ppn=None&ssid=x7qqpg2kgw0000001764345620504,38990,4.4,840,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/k/o/-original-imahg53xmzmtsynn.jpeg?q=70,"Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L.... powered by Intel Core i3. 8GB LPDDR4X RAM. 512.0GB SSD. 15.6"" HD display. weighs 1.55kg. running Windows 11 Home.",Samsung,Gray,Thin and Light Laptop,Intel,Core i3,8,LPDDR4X,Intel,Iris Xe,FALSE,512,SSD,15.6,HD,FALSE,1.55,,Windows 11 Home,FALSE,FALSE,FALSE,TRUE,TRUE
laptop,DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,https://www.flipkart.com/dell-15-amd-ryzen-5-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-3535-thin-light-laptop/p/itm672bf7685863c?pid=COMH8EPFGAZ5HFM3&lid=LSTCOMH8EPFGAZ5HFM3UCBKL5&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_10&otracker=browse&fm=organic&iid=a15a8e40-9d2b-4b5d-8df8-68bc98a746a5.COMH8EPFGAZ5HFM3.SEARCH&ppt=None&ppn=None&ssid=x7qqpg2kgw0000001764345620504,38990,4.3,134,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/t/d/-original-imahg5fyqgdfhugy.jpeg?q=70,"DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop. powered by AMD Ryzen 5. 16GB DDR4 RAM. 512.0GB SSD. AMD Radeon Amd graphics. 15.6"" HD display. weighs 1.67kg. running Windows 11 Home.",DELL,Platinum Silver,Thin and Light Laptop,AMD,Ryzen 5,16,DDR4,AMD,Radeon Amd,TRUE,512,SSD,15.6,HD,FALSE,1.67,,Windows 11 Home,TRUE,TRUE,TRUE,TRUE,TRUE
